Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
52,31355,Low-level,Perfective,3,11,2,2,Senior,8.874245354,2,66.14662053,54,52.82266077,Average,13637.03103
93,712131,High-level,Adaptive,9,10,3,20,Mid-level,8.939335107,1,90.32736222,56,66.1878388,Poor,22906.31193
15,452015,High-level,Corrective,9,4,2,10,Mid-level,3.358163646,3,9.854685141,16,20.74694381,Poor,17167.92035
72,407332,High-level,Adaptive,4,17,2,2,Junior,6.15069754,3,23.20785779,38,90.58501921,Poor,22041.89885
61,157542,High-level,Perfective,4,18,3,2,Mid-level,9.269075621,3,70.89000063,89,83.8549207,Good,18078.64836
21,174416,High-level,Corrective,8,5,2,17,Junior,9.620584989,2,82.37444619,67,47.10837295,Good,12626.167
83,306062,High-level,Adaptive,2,17,2,16,Mid-level,5.089590404,2,85.70290283,54,41.11489323,Average,18677.56462
87,839656,High-level,Corrective,9,5,1,16,Mid-level,4.528248053,3,41.51071769,44,23.65679252,Good,25136.93047
75,564586,Scripting,Corrective,6,3,2,14,Senior,2.786943159,1,8.933990229,75,72.99932246,Poor,19910.09104
75,502708,High-level,Adaptive,9,11,3,7,Senior,9.588718732,2,43.77814773,0,13.17437996,Good,19050.17881
88,867651,Low-level,Corrective,8,18,3,11,Mid-level,1.428143045,2,23.07345902,20,68.02377538,Average,26760.96385
100,62629,Low-level,Adaptive,7,1,3,1,Senior,5.79829576,1,29.1196455,82,84.24569861,Average,11835.55082
24,329184,High-level,Perfective,1,16,3,11,Senior,2.825502675,2,77.22675568,20,22.84715759,Good,18063.89247
3,493734,Low-level,Corrective,3,10,2,4,Senior,2.790082903,3,7.552708603,51,86.64274029,Good,20930.02443
22,756195,High-level,Adaptive,2,10,2,7,Junior,4.049685874,3,82.75812175,81,3.332319944,Good,29404.336
53,291160,Scripting,Corrective,5,20,1,15,Mid-level,9.987929358,1,42.76690858,42,91.27873854,Poor,16403.04009
2,549248,High-level,Preventive,5,15,2,18,Senior,0.549663068,1,59.60639311,51,11.83622279,Good,19414.59604
88,821023,High-level,Adaptive,5,1,2,12,Mid-level,5.785418182,1,8.965223124,66,64.57591779,Good,25828.06876
30,214920,High-level,Perfective,4,1,3,17,Mid-level,0.82572158,3,33.73590784,43,25.00824689,Average,13624.56923
38,890765,Scripting,Adaptive,5,7,2,1,Mid-level,1.5452083,1,8.970091901,31,83.65523912,Poor,27983.1189
2,243804,Low-level,Corrective,3,12,2,11,Mid-level,4.395629418,3,96.15437229,9,51.23003609,Poor,15979.11444
64,377965,Low-level,Adaptive,1,9,2,1,Mid-level,5.104601313,1,80.72616493,63,13.52411912,Good,21503.14976
